_id,url,category,price,scraped_from,status,title
68bdd55fc6bcae1a3cbeb387,https://www.startech.com.bd/havells-Inox-ul-48-inch-ceiling-fan,ceiling-fan,"21,499৳ 25,499৳",https://www.startech.com.bd/ceiling-fan,N/A,"Havells Inox UL 48"" Ceiling Fan With Light and Remote"
68bdd55fc6bcae1a3cbeb388,https://www.startech.com.bd/luminous-jaipur-mahal-52-inch-ceiling-fan,ceiling-fan,"14,500৳ 25,900৳",https://www.startech.com.bd/ceiling-fan,N/A,"Luminous Jaipur Mahal 52"" Decorative Engergy Saving Ceiling Fan"
68bdd560c6bcae1a3cbeb389,https://www.startech.com.bd/baseus-refreshing-monitor-clip-on-stand-up-air-desk-fan,fan,"2,890৳ 3,348৳",https://www.startech.com.bd/fan,N/A,Baseus Refreshing Monitor Clip On and Stand-Up Bladeless Air Desk Fan
68bdd560c6bcae1a3cbeb38a,https://www.startech.com.bd/wiwu-fs05-carter-circulating-rechargeable-table-fan,fan,"3,190৳ 3,490৳",https://www.startech.com.bd/fan,N/A,WIWU FS05 Carter Circulating Foldable Rechargeable Table Fan
68bdd560c6bcae1a3cbeb38b,https://www.startech.com.bd/arctic-summair-plus-rechargeable-fan,fan,"3,400৳ 3,699৳",https://www.startech.com.bd/fan,N/A,Arctic Summair Plus Portable Rechargeable Fan
68bdd560c6bcae1a3cbeb38c,https://www.startech.com.bd/remax-f21-oscillating-fan,fan,"3,500৳ 3,790৳",https://www.startech.com.bd/fan,N/A,Remax F21 Water Cooling Oscillating Fan with Display
68bdd560c6bcae1a3cbeb38d,https://www.startech.com.bd/smart-seh-rt12-rechargeable-fan,fan,"3,900৳ 5,190৳",https://www.startech.com.bd/fan,N/A,SMART SEH-RT12 12” LED Rechargeable Table Fan
68bdd560c6bcae1a3cbeb38e,https://www.startech.com.bd/smart-seh-rs86-rechargeable-fan,charger-fan,"5,900৳ 7,900৳",https://www.startech.com.bd/charger-fan,N/A,SMART SEH-RS86 16” LED Rechargeable Table Fan
68bdd560c6bcae1a3cbeb38f,https://www.startech.com.bd/awei-f23-desk-fan,charger-fan,Up Coming,https://www.startech.com.bd/charger-fan,Up Coming,Awei F23 Rechargeable Desk Fan
68bdd560c6bcae1a3cbeb390,https://www.startech.com.bd/chihua-ch-600a-money-counting-machine,chihua-money-counting-machine,"215,000৳ 239,500৳",https://www.startech.com.bd/chihua-money-counting-machine,N/A,Chihua CH-600A Money Counting Machine
68bdd561c6bcae1a3cbeb391,https://www.startech.com.bd/chuwi-herobook-pro-intel-celeron-laptop,chuwi-laptop,"27,900৳",https://www.startech.com.bd/chuwi-laptop,N/A,Chuwi HeroBook Pro Intel Celeron N4020 14.1 inch Full HD Laptop with Windows 11
68bdd561c6bcae1a3cbeb392,https://www.startech.com.bd/chuwi-herobook-plus-intel-n4020-laptop,chuwi-laptop,"28,000৳ 30,500৳",https://www.startech.com.bd/chuwi-laptop,N/A,"Chuwi HeroBook Plus Intel N4020 15.6"" Inch FHD Laptop"
68bdd561c6bcae1a3cbeb393,https://www.startech.com.bd/chuwi-gemibook-xpro-n150-laptop,chuwi-laptop,"34,900৳",https://www.startech.com.bd/chuwi-laptop,N/A,Chuwi GemiBook XPro Intel Celeron N150 12th Gen 14.1 inch Full HD Laptop
68bdd561c6bcae1a3cbeb394,https://www.startech.com.bd/chuwi-gemibook-plus-laptop,chuwi-laptop,"35,000৳",https://www.startech.com.bd/chuwi-laptop,N/A,Chuwi GemiBook Plus Intel Celeron N100 15.6 inch Full HD Laptop
68bdd561c6bcae1a3cbeb395,https://www.startech.com.bd/chuwi-gemibook-plus-n150-laptop,chuwi-laptop,"39,900৳",https://www.startech.com.bd/chuwi-laptop,N/A,Chuwi GemiBook Plus Intel Celeron N150 15.6 inch Full HD Laptop
68bdd561c6bcae1a3cbeb396,https://www.startech.com.bd/chuwi-minibook-x-n150-touch-laptop,chuwi-laptop,"49,500৳",https://www.startech.com.bd/chuwi-laptop,N/A,"Chuwi MiniBook X Intel Celeron N150 10.5"" FHD+ Touch Laptop"
